Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
Tm	Tm	---	100	7.07	7.07	0.0	0.9	0.9	0.0	6.28	0.1	6.38	100.(2.)
Yb	Yb	---	---	12.43	12.43	0.0	---	---	---	19.42	4	23.4	34.8
168Yb	Yb	168	0.14	-4.07-0.62i	-4.07	-0.62	0	0	0	2.13	0	2.13	2230.(40.)
170Yb	Yb	170	3.06	6.77	6.77	0.0	0	0	0	5.8	0	5.8	11.4(1.0)
171Yb	Yb	171	14.3	9.66	9.66	0.0	-5.59	-5.59	0.0	11.7	3.9	15.6	48.6(2.5)
172Yb	Yb	172	21.9	9.43	9.43	0.0	0	0	0	11.2	0	11.2	0.8
173Yb	Yb	173	16.1	9.56	9.56	0.0	-5.3	-5.3	0.0	11.5	3.5	15	17.1(1.3)
174Yb	Yb	174	31.8	19.3	19.3	0.0	0	0	0	46.8	0	46.8	69.4(5.0)
176Yb	Yb	176	12.7	8.72	8.72	0.0	0	0	0	9.6	0	9.6	2.85
Lu	Lu	---	---	7.21	7.21	0.0	---	---	---	6.53	0.7	7.2	74.(2.)
175Lu	Lu	175	97.39	7.24	7.24	0.0	(+/-)2.2	(+/-)2.2	0.0	6.59	0.6	7.2	21.(3.)
176Lu	Lu	176	2.61	6.1-0.57i	6.1	-0.57	(+/-)3.0+0.61i	(+/-)3.0	0.61	4.7	1.2	5.9	2065.(35.)
Hf	Hf	---	---	7.7	7.7	0.0	---	---	---	7.6	2.6	10.2	104.1
174Hf	Hf	174	0.2	10.9(1.1)	10.9(1.1)	0.0	0	0	0	15.(3.)	0	15.(3.)	561.(35.)
176Hf	Hf	176	5.2	6.61	6.61	0.0	0	0	0	5.5	0	5.5	23.5(3.1)
177Hf	Hf	177	18.6	0.8(1.0)	0.8(1.0)	0.0	(+/-)0.9(1.3)	(+/-)0.9(1.3)	0.0	0.1	0.1	0.2	373.(10.)
178Hf	Hf	178	27.1	5.9	5.9	0.0	0	0	0	4.4	0	4.4	84.(4.)
179Hf	Hf	179	13.7	7.46	7.46	0.0	(+/-)1.06	(+/-)1.06	0.0	7	0.14	7.1	41.(3.)
180Hf	Hf	180	35.2	13.2	13.2	0.0	0	0	0	21.9	0	21.9(1.0)	13.04
Ta	Ta	---	---	6.91	6.91	0.0	---	---	---	6	0.01	6.01	20.6
180Ta	Ta	180	0.012	7.(2.)	7.(2.)	0.0	---	---	---	6.2	0.5	7.(4.)	563.(60.)
181Ta	Ta	181	99.988	6.91	6.91	0.0	-0.29	-0.29	0.0	6	0.011	6.01	20.5
W	W	---	---	4.86	4.86	0.0	---	---	---	2.97	1.63	4.6	18.3
180W	W	180	0.1	5.(3.)	5.(3.)	0.0	0	0	0	3.(4.)	0	3.(4.)	30.(20.)
182W	W	182	26.3	6.97	6.97	0.0	0	0	0	6.1	0	6.1	20.7
183W	W	183	14.3	6.53	6.53	0.0	---	---	---	5.36	0.3	5.7	10.1
184W	W	184	30.7	7.48	7.48	0.0	0	0	0	7.03	0	7.03	1.7
186W	W	186	28.6	-0.72	-0.72	0.0	0	0	0	0.065	0	0.065	37.9
Re	Re	---	---	9.2	9.2	0.0	---	---	---	10.6	0.9	11.5	89.7(1.)
185Re	Re	185	37.4	9.0	9.0	0.0	(+/-)2.0	(+/-)2.0	0.0	10.2	0.5	10.7	112.(2.)
187Re	Re	187	62.6	9.3	9.3	0.0	(+/-)2.8	(+/-)2.8	0.0	10.9	1	11.9	76.4(1.)
Os	Os	---	---	10.7	10.7	0.0	---	---	---	14.4	0.3	14.7	16
184Os	Os	184	0.02	10.(2.)	10.(2.)	0.0	0	0	0	13.(5.)	0	13.(5.)	3000.(150.)
