Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
60	Nd	142	141.907723	27.16	7.7	0.3	0	0	0	0	18.7	0.7	0	0	1	
60	Nd	143	142.909814	12.18	14.	2	21	1	0.0	0	337	10	55.	7	1.	
60	Nd	144	143.910087	23.8	2.8	0.3	0	0	0	0	3.6	0.3	0	0	1	
60	Nd	145	144.912574	8.29	14.	2	---	0	---	0	42	2	5.	5	1.	
60	Nd	146	145.913117	17.19	8.7	0.2	0	0	0	0	1.4	0.1	0	0	1	
60	Nd	148	147.916893	5.75	5.7	0.3	0	0	0	0	2.5	0.2	0	0	1	
60	Nd	150	149.920891	5.63	5.3	0.2	0	0	0	0	1.2	0.2	0	0	1	
61	Pm	---	---	---	12.6	0.4	3.2	2.5	0.0	0	168.4	3.5	1.3	20	0.1	
62	Sm	---	150.36	---	0.80	0.02	---	0	---	0	5922	56	39.	3	00.	
62	Sm	144	143.911999	3.1	-3.	4	0	0	0	0	0.7	0.3	0	0	1	
62	Sm	147	146.914898	15.1	14.	3	11	7	0.0	0	57	3	14	19	001	
62	Sm	148	147.914823	11.3	-3.	4	0	0	0	0	2.4	0.6	0	0	1	
62	Sm	149	148.917185	13.9	-19.2	0.1	31.4	0.6	-10.3	0.1	42080	400	137.	5	001.	
62	Sm	150	149.917276	7.4	14.	3	0	0	0	0	104	4	0	0	1	
62	Sm	152	151.919732	26.6	-5.0	0.6	0	0	0	0	206	6	0	0	1	
62	Sm	154	153.922209	22.6	9.3	1	0	0	0	0	8.4	0.5	0	0	1	
63	Eu	---	151.964	---	7.22	0.02	---	0	---	0	4530	40	2.5	4	0.1	
63	Eu	151	150.919850	47.8	6.13	0.14	4.5	0.4	-2.14	0.02	9100	100	3.1	4	0.1	
63	Eu	153	152.921230	52.2	8.22	0.12	3.2	0.9	0.0	0	312	7	1.3	7	0.1	
64	Gd	---	157.25	---	6.5	0.5	---	0	---	0	49700	125	151.	2	1	
64	Gd	152	151.919791	0.2	10.	3	0	0	0	0	735	20	0	0	1	
64	Gd	154	153.920866	2.1	10.	3	0	0	0	0	85	12	0	0	1	
64	Gd	155	154.922622	14.8	6.0	0.1	5	5	-13.16	0.09	61100	400	25.	6	1.	
64	Gd	156	155.922123	20.6	6.3	0.4	0	0	0	0	1.5	1.2	0	0	1	
64	Gd	157	156.923960	15.7	-1.14	0.02	5	5	-55.8	0.2	259000	700	394.	7	1.	
64	Gd	158	157.924104	24.8	9.	2	0	0	0	0	2.2	0.2	0	0	1	
64	Gd	160	159.927054	21.8	9.15	0.05	0	0	0	0	0.77	0.02	0	0	1	
65	Tb	---	158.92535	100	7.38	0.03	-0.17	0.07	0.0	0	23.4	0.4	0.004	3	0.001	
66	Dy	---	162.5	---	16.9	0.2	---	0	---	0	994	13	54.4	12	00.1	
66	Dy	156	155.924283	0.06	6.1	0.5	0	0	0	0	33	3	0	0	1	
66	Dy	158	157.924409	0.1	6.	4	0	0	0	0	43	6	0	0	1	
66	Dy	160	159.925198	2.34	6.7	0.4	0	0	0	0	56	5	0	0	1	
